Preferred Name	NCGC Lib	SMILES	ML	Report Title	Probe Report URL (old mli links are down)	Source	Probe Present	comment	MLS_ID	SMR_ID	SID	CIDs
	MLS000098157-01|NCGC00039523-01|NCGC00039523-02|NCGC00039523-03	O=C(COC(=O)C12CC3CC(CC(C3)C1)C2)NCc1ccco1	ML067	Agonists of the Thyroid Stimulating Hormone Receptor	http://web.archive.org/web/http://mli.nih.gov/mli/?dl_id=753	old pdf recovered from webarchive	Probe present		"MLS000098157, MLS002635969"	SMR000061266	"3714076, 26752280"	
8-AZAGUANINE	MLS001074752-01|NCGC00016399-01|NCGC00016399-02|NCGC00016399-03|NCGC00016399-04|NCGC00016399-05|NCGC00016399-06|NCGC00188264-01|NCGC00389293-01	Nc1nc2[nH][nH]nc2c(=O)n1	ML068	Splicing modulators at the Beta Globin locus	http://web.archive.org/web/http://mli.nih.gov/mli/?dl_id=748	old pdf recovered from webarchive	Probe present	"SID: 11112293, MLS001074752, 8-Azaguanine"	"MLS000516108, MLS001074752"	SMR000112575		8646
[NO STEREO] IDARUBICIN	MLS001401448-01|MLS002474519-01|NCGC00015551-01|NCGC00015551-02|NCGC00015551-03|NCGC00093976-01|NCGC00093976-02|NCGC00093976-03|NCGC00093976-04|NCGC00093976-05|NCGC00093976-06|NCGC00093976-07|NCGC00093976-08|NCGC00093976-09|NCGC00093976-10|NCGC00093976-11|NCGC00093976-12|NCGC00093976-13|NCGC00093976-14|NCGC00093976-15|NCGC00093976-16|NCGC00181106-01|NCGC00261285-01	C[C@@H]1O[C@H](C[C@H](N)[C@@H]1O)O[C@@H]1C[C@](O)(Cc2c(O)c3C(=O)c4ccccc4C(=O)c3c(O)c12)C(C)=O	ML069	Inhibitors of BRCT-Phosphoprotein Interaction	http://web.archive.org/web/http://mli.nih.gov/mli/?dl_id=879	old pdf recovered from webarchive	Probe present		"MLS000759470, MLS001401448, MLS002474519"	"SMR000466355, SMR001398688"	"99495581, 11111316"	
		CCN(CC)CCCCCNc1cc(O)cc2cccnc12	ML070	Tumor Hsp90 Inhibitor	http://web.archive.org/web/http://mli.nih.gov/mli/?dl_id=581	old pdf recovered from webarchive	Probe missing	"CID 245086,  SID 24724290, 8-(5-diethylaminopentylamino)quinolin-6-ol dihydrobromide"				245086
	NCGC00386615-01|NCGC00386615-02|NCGC00386615-03	CCOC(=O)N1CCC(CC1)NCCNC(=O)c1ccccc1C	ML071	Discovery of a Highly Selective in vitro and in vivo M1 Allosteric Agonist Probe	http://www.ncbi.nlm.nih.gov/books/NBK47340	NCBI Bookshelf Probe Report	Probe present		MLS002279954	SMR001318092	"99350544, 56353039"	
	MLS000698406-01	Cc1noc(C)c1C(c1ccccc1)S(=O)(=O)c1ccc(C)cc1	ML072	Probe Report for NPY-Y2 Receptor Antagonists	http://www.ncbi.nlm.nih.gov/books/NBK47354	NCBI Bookshelf Probe Report	Probe present		MLS000698406	SMR000228471	"22413249, 112379044"	
	MLS000047258-01|NCGC00051126-01|NCGC00051126-02	COc1cccc(c1)-c1nc(no1)-c1ccc(NC(=O)Cc2ccccc2OC)cc1	ML073	Probe Report for NPY-Y2 Receptor Antagonists	http://www.ncbi.nlm.nih.gov/books/NBK47354	NCBI Bookshelf Probe Report	Probe present		"MLS000047258, MLS003882494"	SMR000033269	"4242079, 112379034"	
	MLS000581978-01	Cc1ccc(C)c(NS(=O)(=O)c2cc(ccc2Cl)C(=O)Nc2ccccc2-c2ccccc2)c1	ML074	Probe Report for NPY-Y2 Receptor Antagonists	http://www.ncbi.nlm.nih.gov/books/NBK47354	NCBI Bookshelf Probe Report	Probe present		"MLS000581978, MLS002548088"	SMR000201189	"17413392, 112379043"	
	MLS000569101-01|NCGC00370968-01|NCGC00370968-02	CCOc1ccc(NC(=S)N2CCC(CC2)C(O)(c2ccccc2)c2ccccc2)cc1	ML075	Probe Report for NPY-Y2 Receptor Antagonists	http://www.ncbi.nlm.nih.gov/books/NBK47354	NCBI Bookshelf Probe Report	Probe present		"MLS000569101, MLS006029972"	SMR000177227	"17507305, 112379038"	
	MLS002460410-01	O=C(NCc1cccc2ccsc12)c1cccs1	ML076	Inhibitors of Protein Folding: DnaK	http://www.ncbi.nlm.nih.gov/books/NBK47353	NCBI Bookshelf Probe Report	Probe present		MLS002460410	SMR001382676	"85147370, 56427267"	
	NCGC00370748-01|NCGC00370748-02|NCGC00370748-03	CN(C(=O)CSc1ccc(nn1)-c1ccccc1)c1nc(C)cs1	ML077	Discovery of a Highly Selective KCC2 Antagonist	http://www.ncbi.nlm.nih.gov/books/NBK47347	NCBI Bookshelf Probe Report	Probe present		MLS002279949	SMR001318087	"99350545, 56405461"	
		Cc1sc(NC(=O)CSc2nccc(n2)-c2ccc(Cl)cc2)c(C#N)c1-c1ccc(F)cc1	ML078	HTS for Inhibitors of BAP1	http://web.archive.org/web/http://mli.nih.gov/mli/?dl_id=929	old pdf recovered from webarchive	Probe present		MLS002454206	SMR001371817	48410639	
	MLS000558527-01|MLS000558527-02|NCGC00183144-01|NCGC00183144-02	COc1ccc(cc1OC)C1c2c(Oc3ncn(CCN4CCOCC4)c(=N)c13)ccc1ccccc21	ML079	Identification of Functionally Selective Small Molecule Antagonists of the Neuropeptide-S Receptor: Naphthopyranopyrimidines	http://www.ncbi.nlm.nih.gov/books/NBK47358	NCBI Bookshelf Probe Report	Probe present		"MLS000558527, MLS001305224"	SMR000149043	"14741035, 56431681"	
	MLS002391576-01|NCGC00386816-01	Oc1ccc(-c2csc(Nc3ccc(C#N)c(c3)C(F)(F)F)n2)c(O)c1	ML080	Probe Report for P97/cdc48 Inhibitors	http://www.ncbi.nlm.nih.gov/books/NBK47346	NCBI Bookshelf Probe Report	Probe present		MLS002391576	SMR001355830	"85146558, 56432669"	
EMETINE	MLS000028478-01|MLS001146924-01|NCGC00015404-01|NCGC00015404-02|NCGC00016428-01|NCGC00017405-01|NCGC00024379-01|NCGC00024379-02|NCGC00024379-04|NCGC00024379-05|NCGC00024379-06|NCGC00024379-07|NCGC00024379-08|NCGC00024379-09|NCGC00024379-10|NCGC00024379-11|NCGC00024379-12|NCGC00024379-13|NCGC00024379-14|NCGC00024379-15|NCGC00024379-16|NCGC00024379-17|NCGC00024379-18|NCGC00024379-19|NCGC00024379-20|NCGC00024379-21|NCGC00024379-22|NCGC00024379-23|NCGC00093874-01|NCGC00094664-01|NCGC00094664-02|NCGC00142477-01|NCGC00178891-01|NCGC00178891-02|NCGC00178891-03|NCGC00257951-01|NCGC00261145-01|NCGC00359727-01	CC[C@H]1CN2CCc3cc(OC)c(OC)cc3[C@@H]2C[C@@H]1C[C@H]1NCCc2cc(OC)c(OC)cc12	ML081	"Probe Report for RBBP9 Inhibitors - Probe 1 
Probe Report for RBBP9 Inhibitors - Probe 2"	"http://www.ncbi.nlm.nih.gov/books/NBK47337 
http://www.ncbi.nlm.nih.gov/books/NBK50690"	NCBI Bookshelf Probe Report	Probe present		"MLS000028478, MLS001146923, MLS001146924"	"SMR000058444, SMR000653466"	"855836, 112379032"	
	MLS000076148-01|NCGC00031955-01|NCGC00031955-02|NCGC00031955-03	Cc1cc2n(C)c3c(cnn(Cc4ccccc4F)c3=O)c2s1	ML082	Identification of activators for the M2 isoform of human pyruvate kinase	http://www.ncbi.nlm.nih.gov/books/NBK47338	NCBI Bookshelf Probe Report	Probe present		MLS000076148	SMR000000723	"851783, 57646207"	
	MLS000030964-01|MLS000888347-01|NCGC00030335-01|NCGC00030335-02|NCGC00030335-03	COc1ccc(cc1)S(=O)(=O)N1CCN(CC1)S(=O)(=O)c1ccc2OCCOc2c1	ML083	Identification of activators for the M2 isoform of human pyruvate kinase	http://www.ncbi.nlm.nih.gov/books/NBK47338	NCBI Bookshelf Probe Report	Probe present		"MLS006032173, MLS000030964, MLS000888347"	SMR000004273	"847943, 57646205"	
	MLS000722799-01|NCGC00025310-01|NCGC00025310-02|NCGC00025310-03|NCGC00025310-04|NCGC00025310-05	COC(=O)c1ccccc1NC(=O)c1ccc(F)cc1	ML084	Identification of lipid storage modulators	http://www.ncbi.nlm.nih.gov/books/NBK47336	NCBI Bookshelf Probe Report	Probe present		"MLS000722799, MLS006029946"	SMR000304795	"24811331, 11114231"	
	MLS000080519-01|NCGC00071493-01|NCGC00071493-02	COc1ccccc1-c1nnc(SCC(=O)c2ccc(O)c(O)c2)n1CC=C	ML085	Placental Alkaline Phosphatase (PLAP) Luminescent HTS assay - Probe 1	http://www.ncbi.nlm.nih.gov/books/NBK47343	NCBI Bookshelf Probe Report	Probe present		"MLS000080519, MLS002415565"	SMR000038039	"85147010, 56373725"	
		CN(C)C(=O)c1cccc(c1)-n1sc2ccccc2c1=O	ML086	The Role of PHOSPHO1 in the Initiation of Skeletal Calcification	http://www.ncbi.nlm.nih.gov/books/NBK47355	NCBI Bookshelf Probe Report	Probe present		MLS002460501	SMR001382706	57287582	
	MLS002460481-01|NCGC00386922-01	Oc1c(N=Nc2ccccc2O)c2ccccc2n1CC=C	ML087	HTS identification of compounds activating TNAP at an intermediate concentration of phosphate acceptor detected in luminescent assay	http://www.ncbi.nlm.nih.gov/books/NBK47339	NCBI Bookshelf Probe Report	Probe present		MLS002460481	SMR001330782	"85147380, 56373763"	
	MLS002460492-01|NCGC00100181-01|NCGC00100181-02	Cc1cc(OCC(=O)Nc2nc[nH]n2)ccc1Cl	ML088	HTS identification of compounds activating TNAP at an intermediate concentration of phosphate acceptor detected in luminescent assay	http://www.ncbi.nlm.nih.gov/books/NBK47339	NCBI Bookshelf Probe Report	Probe present		MLS002460492	SMR001382699	"85147387, 48410176"	
	MLS002460495-01	Fc1ccc2sn(-c3ccccc3)c(=O)c2c1	ML089	Therapeutic Inhibitors of Phosphomannose Isomerase - Probe 1	http://www.ncbi.nlm.nih.gov/books/NBK47345	NCBI Bookshelf Probe Report	Probe present		MLS002460495	SMR001382700	"85147390, 57287553"	
	NCGC00386834-01|NCGC00386834-02|NCGC00386834-03	N1c2ccccc2Nc2nc3ccccc3nc12	ML090	Probe Report for NOX1 Inhibitors	http://www.ncbi.nlm.nih.gov/books/NBK47342	NCBI Bookshelf Probe Report	Probe present		"MLS000677322, MLS002345386"	SMR000286126	"125001264, 26535836"	
	MLS002471788-01|NCGC00181213-01|NCGC00181213-02|NCGC00181213-03	O=C(CNC(=O)C1CCCCC1)OC(C(=O)c1ccccc1)c1ccccc1	ML091	"Promiscuous and Specific Inhibitors of Cruzain (2-oxo-1,2-diphenylethyl 2-(cyclohexanecarboxamido)acetate)"	http://web.archive.org/web/http://mli.nih.gov/mli/?dl_id=1001	old pdf recovered from webarchive	Probe present		MLS002471788	SMR001395201	"85147303, 99206570, 85267411"	
	MLS002471782-01|NCGC00181918-01|NCGC00181918-02|NCGC00181918-03	CCn1cnc2c(Nc3cc(F)cc(F)c3)nc(nc12)C#N	ML092	"Promiscuous and Specific Inhibitors of Cruzain (6-(3,5-difluorophenylamino)-9-ethyl-9H-purine-2-carbonitrile)"	http://web.archive.org/web/http://mli.nih.gov/mli/?dl_id=1000	old pdf recovered from webarchive	Probe present		MLS002471782	SMR001395197	"85147297, 99206571, 85267412"	
			ML093	Profiling Report: Detergent-sensitive Inhibitors of Cruzain (Aggregators)	http://web.archive.org/web/http://mli.nih.gov/mli/?dl_id=971	old pdf recovered from webarchive	"Profiling Report, no probe"					
	MLS002391450-01|NCGC00183397-01	Fc1ccc(cc1)C(=O)OCC#CCSc1nnc(o1)-c1cccc2ccccc12	ML094	qHTS Assay for Inhibitors of 15-hLO-1 (15-human lipoxygenase 1)	http://web.archive.org/web/http://mli.nih.gov/mli/?dl_id=1003	old pdf recovered from webarchive	Probe present		"MLS002276478, MLS002391450"	SMR001318016	"85146452, 99206572, 81065473"	
	MLS002460469-01|NCGC00386902-01|NCGC00386902-02|NCGC00386902-03|NCGC00386902-04|NCGC00386902-05	CCc1nccn1CC(=O)c1ccc(O)c(O)c1	ML095	Placental Alkaline Phosphatase (PLAP) Luminescent HTS assay - Probe 2	http://www.ncbi.nlm.nih.gov/books/NBK47351	NCBI Bookshelf Probe Report	Probe present		"MLS002460469, MLS006030026"	SMR001382686	"125001268, 56405584"	
	MLS002460474-01|NCGC00386866-01	Cc1nnc(N=c2ssnc2Cl)o1	ML096	Therapeutic Inhibitors of Phosphomannose Isomerase - Probe 2	http://www.ncbi.nlm.nih.gov/books/NBK47350	NCBI Bookshelf Probe Report	Probe present		MLS002460474	SMR001382691	"85147374, 57309177"	
	MLS000761515-01|NCGC00387973-01|NCGC00387973-02|NCGC00387973-03	OC(=O)c1ccccc1OCc1ccccc1Br	ML097	Three small molecule pan activator families of Ras-related GTPases	http://www.ncbi.nlm.nih.gov/books/NBK47359	NCBI Bookshelf Probe Report	Probe present		"MLS000761515, MLS006028700"	SMR000371621	"24838021, 57578338"	
	MLS000689786-01|NCGC00388035-01|NCGC00388035-02|NCGC00388035-03|NCGC00388035-04	Cc1ccc(C)c(OCCn2cc(C(O)=O)c3ccccc23)c1	ML098	Three small molecule pan activator families of Ras-related GTPases	http://www.ncbi.nlm.nih.gov/books/NBK47359	NCBI Bookshelf Probe Report	Probe present		"MLS000689786, MLS006028574"	SMR000313390	"24814829, 57578337"	
	MLS000088004-01|NCGC00053348-01|NCGC00053348-02|NCGC00053348-03|NCGC00053348-04	OC(=O)c1cccnc1SCCc1ccccc1	ML099	Three small molecule pan activator families of Ras-related GTPases	http://www.ncbi.nlm.nih.gov/books/NBK47359	NCBI Bookshelf Probe Report	Probe present		"MLS000088004, MLS006028538"	SMR000072200	"4257303, 57578335"	
	MLS000544130-01	CSc1nc(nc(n1)-c1ccc(C)cc1)C(Cl)Cl	ML100	uHTS for the identification of compounds that potentiate TRAIL-induced apoptosis of cancer cells	http://www.ncbi.nlm.nih.gov/books/NBK47356	NCBI Bookshelf Probe Report	Probe present		"MLS000544130, MLS002460476"	SMR000163652	57287667	
	MLS002460460-01|NCGC00386919-01	CNC(C)C(=O)NC(C(C)C)C(=O)N1CCCC1C(=O)Nc1cccc2ncccc12	ML101	Antagonists of IAP-family anti-apoptotic proteins - Probe 1	http://www.ncbi.nlm.nih.gov/books/NBK47341	NCBI Bookshelf Probe Report	Probe present		MLS002460460	SMR001382677	"125001267, 57643995"	
	MLS000391787-01|MLS000391787-02	Cc1nc2ccccc2[nH]c(=O)\c1=N/Nc1ccccc1	ML102	HTS for Identification of Inhibitors against the ERK Signaling Pathway using a Homogenous Cell-based Assay	http://www.ncbi.nlm.nih.gov/books/NBK47349	NCBI Bookshelf Probe Report	Probe present		MLS000391787	SMR000260822	22409543	
	MLS002472423-01|NCGC00183199-01	Nc1scc2c(nn(-c3ccccc3)c(=O)c12)C(O)=O	ML103	High Throughput Screening for Small Molecule Inhibitors of Heparin-induced Tau Fibril Formation	http://www.ncbi.nlm.nih.gov/books/NBK47348	NCBI Bookshelf Probe Report	Probe present		"MLS002389637, MLS002472423"	SMR001355029	"85147400, 57288397"	
	MLS000763654-01|MLS000763654-02	COc1nc(nnc1-c1ccccc1)-c1ccccc1	ML104	High throughput screening for SMA	http://www.ncbi.nlm.nih.gov/books/NBK47357	NCBI Bookshelf Probe Report	Probe present		MLS000763654	SMR000337239	24819285	
	MLS003115040-01|NCGC00012420-01|NCGC00012420-02	C(Nc1ccnc(n1)-c1ccc2OCOc2c1)c1cccnc1	ML105	"A high-throughput screen for pre-mRNA splicing modulators 
Probe Reports from the NIH Molecular Libraries Program"	"http://www.ncbi.nlm.nih.gov/books/NBK47344 
http://www.ncbi.nlm.nih.gov/books/NBK47352"	NCBI Bookshelf Probe Report	Probe present		MLS003115040	SMR001828665	"143471906, 4239891"	
	MLS002276464-01|MLS003115039-01|MLS003179270-01|NCGC00010037-01|NCGC00010037-02|NCGC00010037-03|NCGC00010037-04	C(Nc1ncnc2ccc(cc12)-c1ccc2OCOc2c1)c1cccs1	ML106	"A high-throughput screen for pre-mRNA splicing modulators 
Probe Reports from the NIH Molecular Libraries Program"	"http://www.ncbi.nlm.nih.gov/books/NBK47344 
http://www.ncbi.nlm.nih.gov/books/NBK47352"	NCBI Bookshelf Probe Report	Probe present		"MLS002276464, MLS003115039, MLS003179270"	"SMR001318005, SMR001828664"	"85146056, 85239684, 4237508"	
	MLS000685597-01|NCGC00370928-01|NCGC00370928-02|NCGC00370928-03|NCGC00370928-04|NCGC00389203-01|NCGC00389203-02|NCGC00389203-03|NCGC00389203-04|NCGC00389203-05	OC(=O)c1ccc(cc1)N1C(=O)\C(=C\c2ccc(o2)-c2ccc(cc2)[N+]([O-])=O)C=C1c1ccccc1	ML107	HTS for inhibitors of Eukaryotic Translation Initiation	http://web.archive.org/web/http://mli.nih.gov/mli/?dl_id=1012	old pdf recovered from webarchive	Probe present		"MLS000685597, MLS006029977"	SMR000312561	"24823724, 57269291"	
	NCGC00370898-01|NCGC00370898-02|NCGC00370898-03|NCGC00370898-04|NCGC00370898-05	COc1ccc(CNC(=O)c2sc3nc(C)cc(C)c3c2N)cc1	ML108	"Extended Probe Characterization: Development of an M4 PAM with Improved Activity and Brain Exposure, while Avoiding Species Bias 
Discovery of a novel structural class of M4 positive allosteric modulators: Characterization of ML293, N-(4-methoxy-7-methylbenzo[d]thiazol-2-yl)isonicotinamide, with CNS exposure in rats 
Discovery of a Highly Selective in vitro and in vivo M4 Positive Allosteric Modulator (PAM)"	"http://www.ncbi.nlm.nih.gov/books/NBK143536 
http://www.ncbi.nlm.nih.gov/books/NBK143538 
http://www.ncbi.nlm.nih.gov/books/NBK50687"	NCBI Bookshelf Probe Report	Probe present		"MLS002474502, MLS006028818"	SMR001398667	85163688	
	MLS002576689-01|NCGC00168126-01|NCGC00168126-02	COc1ccc(cc1COc1ccc(NC(C)=O)cc1)C1Nc2cccc(O)c2C(=O)N1Cc1ccccc1	ML109	Identification of Potent and Selective Thyroid Stimulating Hormone Receptor Agonists	http://www.ncbi.nlm.nih.gov/books/NBK56234	NCBI Bookshelf Probe Report	Probe present		MLS002576689	SMR001496544	"99495610, 26755506"	
		C[C@@H](C(=O)N[C@@H](C(C)C)C(=O)N[C@@H](C)C(=O)NC1=CC=CC2=CC=CC=C21)N.C(=O)O	ML110		http://www.sciencedirect.com/science/article/pii/S0960894X13005970	missing	no info	ML183 supercedes ML110			85164172	44176346
	MLS000584173-01|NCGC00370747-01|NCGC00370747-02|NCGC00370747-03|NCGC00370747-04|NCGC00370747-05	[O-][N+](=O)c1ccc(CN2CCOCCOCCN(Cc3ccc(cc3)[N+]([O-])=O)CCOCC2)cc1	ML111	"Discovery of a small molecule inhibitor of ROMK and Kir7.1 
Discovery of a small molecule inhibitor of ROMK with unprecedented selectivity"	"http://www.ncbi.nlm.nih.gov/books/NBK50685 
http://www.ncbi.nlm.nih.gov/books/NBK50699"	NCBI Bookshelf Probe Report	Probe present		"MLS000584173, MLS003878232, MLS002474506"	"SMR000203336, SMR001522527"	"17510129, 84975334"	
	NCGC00371023-01|NCGC00371023-02	[O-][N+](=O)c1ccc2[nH]c(COCc3nc4cc(ccc4[nH]3)[N+]([O-])=O)nc2c1	ML112	"Discovery of a small molecule inhibitor of ROMK and Kir7.1 
Discovery of a small molecule inhibitor of ROMK with unprecedented selectivity"	"http://www.ncbi.nlm.nih.gov/books/NBK50685 
http://www.ncbi.nlm.nih.gov/books/NBK50699"	NCBI Bookshelf Probe Report	Probe present		MLS002474508	SMR001398672	84975340	
	MLS002554749-01|NCGC00386830-01	OS(=O)(=O)CCN1C(=S)SC(=Cc2cn(nc2-c2ccc(OCc3ccc(Cl)cc3)cc2)-c2ccccc2)C1=O	ML113	Small-Molecule Inhibitors of Vaccinia-H1-Related Phosphatase VHR	http://www.ncbi.nlm.nih.gov/books/NBK50693	NCBI Bookshelf Probe Report	Probe present		MLS002554749	SMR001479684	"99495600, 85256223"	
	MLS002473500-01|NCGC00386911-01	CC(=NOC(=O)C1CCCCC1)c1nccs1	ML114	Probe Report for RBBP9 Inhibitors - Probe 2	http://www.ncbi.nlm.nih.gov/books/NBK50690	NCBI Bookshelf Probe Report	Probe present		MLS002473500	SMR001397668	"99495551, 85098567"	
	MLS000522376-01|NCGC00402332-01|NCGC00402332-02	COc1cc(NC(=O)c2cc(on2)C2CC2)c(OC)cc1Cl	ML115	"Probe Reports from the NIH Molecular Libraries Program 
Modulators of STAT Transcription Factors for the Targeted Therapy of Cancer (STAT3 Activators)"	"http://www.ncbi.nlm.nih.gov/books/NBK47352 
http://www.ncbi.nlm.nih.gov/books/NBK51964"	NCBI Bookshelf Probe Report	Probe present		MLS000522376	SMR000127643	"14735210, 87334054"	
	MLS001007458-01	C(C1CCN(CC1)c1ncnc2sccc12)c1ccccc1	ML116	"Probe Reports from the NIH Molecular Libraries Program 
Modulators of STAT Transcription Factors for the Targeted Therapy of Cancer (STAT3 Inhibitors)"	"http://www.ncbi.nlm.nih.gov/books/NBK47352 
http://www.ncbi.nlm.nih.gov/books/NBK56232"	NCBI Bookshelf Probe Report	Probe present		MLS001007458	SMR000352660	"24825594, 87349854"	
	MLS000112822-01|NCGC00075155-01	CCn1c2ccccc2c2nnc(SCCCn3c(O)nc4ccccc34)nc12	ML117	HTS of TB RmlC & RmlD dTDP-Rhamnose Formation Enzymes	http://web.archive.org/web/http://mli.nih.gov/mli/?dl_id=1030	old pdf recovered from webarchive	Probe present		MLS000112822	SMR000108731	7975595	
	MLS000089581-01|MLS002473427-01|NCGC00050539-01	Cc1ccnc(NC(=O)CCCOc2cc(=O)n(C)c3ccccc23)c1	ML118	"Identification of Small Molecule Inhibitors of Wee1 Degradation and Mitotic Entry 
Probe Reports from the NIH Molecular Libraries Program 
Small Molecule Inhibitors of Wee1 Degradation and Mitotic Entry"	"http://www.ncbi.nlm.nih.gov/books/NBK143190 
http://www.ncbi.nlm.nih.gov/books/NBK47352 
http://www.ncbi.nlm.nih.gov/books/NBK56226"	NCBI Bookshelf Probe Report	Probe present		"MLS000089581, MLS002473427"	"SMR000027929, SMR001397518"	"99495575, 87235992"	
	MLS000107874-01|MLS000107874-02|MLS002554729-01|NCGC00077915-01|NCGC00077915-02	OC(=O)c1ccccc1-c1ccc(C=c2sc3nc4cc(Br)cnc4n3c2=O)o1	ML119	Selective HePTP Inhibitors: Probe 1	http://www.ncbi.nlm.nih.gov/books/NBK50696	NCBI Bookshelf Probe Report	Probe present		"MLS000107874, MLS002554729"	"SMR000103838, SMR001479124"	"99495583, 26514203"	
	MLS001178476-01|MLS002554735-01|NCGC00386870-01	CCOC(=O)C1=C(C)N=c2sc(=Cc3ccc(OCC(O)=O)cc3)c(=O)n2C1c1ccc(SC)cc1	ML120	Selective HePTP Inhibitors: Probe 2	http://www.ncbi.nlm.nih.gov/books/NBK50697	NCBI Bookshelf Probe Report	Probe present		"MLS001178476, MLS002554735"	"SMR000477247, SMR001479130"	"99495585, 85176630"	
	MLS000680027-01	Oc1nc2SC3C4CCC(C4)C3C(c2s1)c1cccnc1	ML121	"ML302, a Novel Beta-lactamase (BLA) Inhibitor 
Probe Reports from the NIH Molecular Libraries Program 
HTS Assay for Discovery of Novel Metallo-Beta-lactamase (MBL) Inhibitors"	"http://www.ncbi.nlm.nih.gov/books/NBK143563 
http://www.ncbi.nlm.nih.gov/books/NBK47352 
http://www.ncbi.nlm.nih.gov/books/NBK63598"	NCBI Bookshelf Probe Report	Probe present		"MLS000680027, MLS003170499, MLS003467369"	"SMR000324650, SMR001872386, SMR002134331"	"24790728, 85856282"	
	MLS000715887-01|NCGC00386862-01	Cc1ccc(N2CCN(CC2)S(=O)(=O)N2CCCCC2)c(C)c1	ML122	Campaign to Identify Agonists of Transient Receptor Potential Channels 3 and 2 (TRPML3 & TRPML2)	http://www.ncbi.nlm.nih.gov/books/NBK65432	NCBI Bookshelf Probe Report	Probe present		"MLS000715887, MLS003813019"	SMR000277404	"24787221, 85786752"	
	MLS000713637-01|MLS003529999-01|MLS003530000-01|MLS003530001-01|NCGC00386891-01	Clc1ccc(cc1)S(=O)(=O)NC1CCCCC1N1CCOCC1	ML123	Campaign to Identify Agonists of Transient Receptor Potential Channels 3 and 2 (TRPML3 & TRPML2)	http://www.ncbi.nlm.nih.gov/books/NBK65432	NCBI Bookshelf Probe Report	Probe present		"MLS000713637, MLS003529999, MLS003530000, MLS003530001, MLS003530002"	"SMR000273118, SMR002175564, SMR002175565, SMR002175566, SMR002175567"	"24801657, 85786753"	
	MLS002554296-01|NCGC00238413-01	CC(C)(C)c1ccc(cc1)S(=O)(=O)Nc1ccc(cc1)C(O)(C(F)(F)F)C(F)(F)F	ML124	"Identification of a novel selective inverse agonist probe and analogs for the Retinoic acid receptor-related Orphan Receptor Alpha (RORÎ±) 
Identification of a novel selective inverse agonist probe and analogs for the Retinoic acid receptor-related Orphan Receptor Gamma (RORÎ_) 
Probe Reports from the NIH Molecular Libraries Program 
Campaign to identify novel modulators of the Retinoic acid receptor-related Orphan Receptors (ROR)"	"http://www.ncbi.nlm.nih.gov/books/NBK143192 
http://www.ncbi.nlm.nih.gov/books/NBK143543 
http://www.ncbi.nlm.nih.gov/books/NBK47352 
http://www.ncbi.nlm.nih.gov/books/NBK56239"	NCBI Bookshelf Probe Report	Probe present		"MLS002554296, MLS006031878"	SMR001456585	"99495593, 85257298"	
T0901317	MLS002554297-01|NCGC00159555-01|NCGC00159555-02|NCGC00159555-03|NCGC00159555-04|NCGC00159555-05|NCGC00159555-06|NCGC00159555-07|NCGC00159555-08|NCGC00344279-01	OC(c1ccc(cc1)N(CC(F)(F)F)S(=O)(=O)c1ccccc1)(C(F)(F)F)C(F)(F)F	ML125	"Identification of a novel selective inverse agonist probe and analogs for the Retinoic acid receptor-related Orphan Receptor Alpha (RORÎ±) 
Identification of a novel selective inverse agonist probe and analogs for the Retinoic acid receptor-related Orphan Receptor Gamma (RORÎ_) 
Probe Reports from the NIH Molecular Libraries Program 
Campaign to identify novel modulators of the Retinoic acid receptor-related Orphan Receptors (ROR)"	"http://www.ncbi.nlm.nih.gov/books/NBK143192 
http://www.ncbi.nlm.nih.gov/books/NBK143543 
http://www.ncbi.nlm.nih.gov/books/NBK47352 
http://www.ncbi.nlm.nih.gov/books/NBK56239"	NCBI Bookshelf Probe Report	Probe present		"MLS002554297, MLS006029712, MLS006031924, MLS006032201"	SMR001456586	"99495594, 85257301"	
	MLS000554721-01	Cc1ccc(cc1)C(=O)n1c2ccccc2c2ccccc12	ML126	"Identification of small molecules that selectively inhibit streptokinase expression without suppression of viability in Group A streptococci - Probe 2 
Identification of small molecules that selectively inhibit streptokinase expression without suppression of viability in Group A streptococci - Probe 1"	"http://www.ncbi.nlm.nih.gov/books/NBK56227 
http://www.ncbi.nlm.nih.gov/books/NBK56228"	NCBI Bookshelf Probe Report	Probe present		"MLS000554721, MLS002608919"	SMR000146838	85281160	
	MLS002729016-01|NCGC00183685-01|NCGC00183685-02|NCGC00183685-03|NCGC00183685-04|NCGC00183685-05|NCGC00183685-06|NCGC00183685-07|NCGC00188369-01|NCGC00188369-02|NCGC00188369-03|NCGC00188369-04|NCGC00188370-01|NCGC00188370-02|NCGC00188370-03|NCGC00188370-04	CC(=O)NC(c1cccs1)c1cc(Br)c2cccnc2c1O	ML127	"Discovery of ML355, a Potent and Selective Inhibitor of Human 12-Lipoxygenase 
Selective Small Molecule Inhibitors of 12-Human Lipoxygenase (12-hLO)"	"http://www.ncbi.nlm.nih.gov/books/NBK259188 
http://www.ncbi.nlm.nih.gov/books/NBK56235"	NCBI Bookshelf Probe Report	Probe present		"MLS002391521, MLS002729016, MLS003370621"	SMR001355490	"99495752, 104224279, 85736374"	
